benchmark,time,ext
wrf,172.58367,randomized
wrf,172.201602,randomized
wrf,172.608101,randomized
wrf,172.975966,randomized
wrf,172.252498,randomized
wrf,172.444805,randomized
wrf,172.340266,randomized
wrf,172.179127,randomized
wrf,172.438237,randomized
wrf,172.722803,randomized
wrf,172.425375,randomized
wrf,172.391072,randomized
wrf,172.5083,randomized
wrf,172.470943,randomized
wrf,172.582914,randomized
wrf,172.820955,randomized
wrf,172.596705,randomized
wrf,172.2942,randomized
wrf,172.370272,randomized
wrf,172.775332,randomized
wrf,172.625273,randomized
wrf,172.574288,randomized
zeusmp,77.961697,randomized
zeusmp,77.092514,randomized
zeusmp,77.299004,randomized
zeusmp,77.587837,randomized
zeusmp,77.249736,randomized
zeusmp,77.238407,randomized
zeusmp,77.140458,randomized
zeusmp,77.632968,randomized
zeusmp,77.611076,randomized
zeusmp,77.58618,randomized
zeusmp,77.100982,randomized
zeusmp,77.200108,randomized
zeusmp,77.328421,randomized
zeusmp,77.460406,randomized
zeusmp,77.399342,randomized
zeusmp,77.421092,randomized
zeusmp,77.109922,randomized
zeusmp,77.744628,randomized
zeusmp,77.469242,randomized
zeusmp,77.406106,randomized
zeusmp,77.608608,randomized
zeusmp,77.910973,randomized
zeusmp,77.40244,randomized
zeusmp,77.561871,randomized
zeusmp,77.333329,randomized
zeusmp,77.697821,randomized
zeusmp,78.028963,randomized
zeusmp,77.485086,randomized
zeusmp,77.417561,randomized
zeusmp,77.123144,randomized
astar,194.130325,re-randomized
astar,194.664018,re-randomized
astar,194.378926,re-randomized
astar,194.161423,re-randomized
astar,194.623871,re-randomized
astar,194.571076,re-randomized
astar,194.423422,re-randomized
astar,194.634432,re-randomized
astar,194.815159,re-randomized
astar,194.741893,re-randomized
astar,194.44076,re-randomized
astar,194.578038,re-randomized
astar,194.604791,re-randomized
astar,194.396049,re-randomized
astar,194.838193,re-randomized
astar,194.90012,re-randomized
astar,194.766357,re-randomized
astar,194.693978,re-randomized
astar,194.351301,re-randomized
astar,194.136008,re-randomized
astar,194.803918,re-randomized
astar,194.418172,re-randomized
astar,194.604737,re-randomized
astar,194.851212,re-randomized
astar,194.546731,re-randomized
astar,194.081896,re-randomized
astar,194.939447,re-randomized
astar,194.9258,re-randomized
astar,195.941531,re-randomized
astar,194.415499,re-randomized
cactusADM,36.787065,re-randomized
