benchmark, time, tune
zeusmp, 71.485977, O3
zeusmp, 71.474555, O3
zeusmp, 71.495662, O3
zeusmp, 71.47513, O3
zeusmp, 71.416847, O3
zeusmp, 71.5548, O3
zeusmp, 71.374088, O3
zeusmp, 71.385425, O3
zeusmp, 71.54193, O3
zeusmp, 71.434426, O3
zeusmp, 71.462753, O3
zeusmp, 71.34157, O3
zeusmp, 71.482401, O3
zeusmp, 71.864588, O3
zeusmp, 71.868433, O3
zeusmp, 71.543521, O3
zeusmp, 71.223836, O3
zeusmp, 71.473242, O3
zeusmp, 71.591719, O3
zeusmp, 71.444123, O3
zeusmp, 71.447664, O3
zeusmp, 71.485242, O3
zeusmp, 71.56569, O3
zeusmp, 71.470661, O3
zeusmp, 71.514589, O3
zeusmp, 71.439013, O3
zeusmp, 71.297232, O3
astar, 194.130325, O2
astar, 194.664018, O2
astar, 194.378926, O2
astar, 194.161423, O2
astar, 194.623871, O2
astar, 194.571076, O2
astar, 194.423422, O2
astar, 194.634432, O2
astar, 194.815159, O2
astar, 194.741893, O2
astar, 194.44076, O2
astar, 194.578038, O2
astar, 194.604791, O2
astar, 194.396049, O2
astar, 194.838193, O2
astar, 194.90012, O2
astar, 194.766357, O2
astar, 194.693978, O2
astar, 194.351301, O2
astar, 194.136008, O2
astar, 194.803918, O2
astar, 194.418172, O2
astar, 194.604737, O2
astar, 194.851212, O2
astar, 194.546731, O2
astar, 194.081896, O2
astar, 194.939447, O2
astar, 194.9258, O2
astar, 195.941531, O2
astar, 194.415499, O2
bzip2, 116.745781, O2
bzip2, 116.488386, O2
bzip2, 116.390381, O2
bzip2, 116.488602, O2
bzip2, 116.459213, O2
bzip2, 116.660261, O2
bzip2, 116.750141, O2
bzip2, 116.684518, O2
bzip2, 116.281282, O2
bzip2, 116.405292, O2
bzip2, 116.501986, O2
bzip2, 116.988205, O2
bzip2, 116.686067, O2
bzip2, 116.809615, O2
bzip2, 116.968281, O2
bzip2, 116.826929, O2
bzip2, 116.438846, O2
bzip2, 116.301465, O2
bzip2, 116.702249, O2
bzip2, 116.703178, O2
bzip2, 116.372571, O2
bzip2, 116.504293, O2
bzip2, 116.623896, O2
bzip2, 116.327251, O2
bzip2, 116.947173, O2
bzip2, 116.722339, O2
bzip2, 116.874434, O2
bzip2, 116.451167, O2
bzip2, 116.385069, O2
bzip2, 116.440785, O2
cactusADM, 36.787065, O2
cactusADM, 37.166324, O2
cactusADM, 37.250957, O2
cactusADM, 36.816972, O2
cactusADM, 37.237784, O2
cactusADM, 36.820225, O2
cactusADM, 37.17246, O2
cactusADM, 37.535629, O2
cactusADM, 37.520583, O2
cactusADM, 36.671992, O2
cactusADM, 37.02217, O2
cactusADM, 37.436315, O2
cactusADM, 36.878944, O2
cactusADM, 36.931043, O2
cactusADM, 36.391352, O2
cactusADM, 37.006627, O2
cactusADM, 36.871715, O2
cactusADM, 36.987942, O2
cactusADM, 39.234535, O2
cactusADM, 37.469364, O2
cactusADM, 37.559503, O2
cactusADM, 37.333251, O2
cactusADM, 36.614981, O2
cactusADM, 37.003374, O2
cactusADM, 36.918414, O2
cactusADM, 37.39631, O2
cactusADM, 39.536231, O2
cactusADM, 37.531067, O2
cactusADM, 38.706793, O2
cactusADM, 37.68111, O2
gcc, 2.420461, O2
gcc, 2.423073, O2
gcc, 2.414412, O2
gcc, 2.395213, O2
gcc, 2.400616, O2
gcc, 2.42322, O2
gcc, 2.438553, O2
gcc, 2.433478, O2
gcc, 2.408583, O2
gcc, 2.407399, O2
gcc, 2.417316, O2
gcc, 2.448618, O2
gcc, 2.411388, O2
gcc, 2.399359, O2
gcc, 2.441131, O2
gcc, 2.433442, O2
gcc, 2.411767, O2
gcc, 2.440924, O2
gcc, 2.419555, O2
gcc, 2.451847, O2
gcc, 2.459921, O2
gcc, 2.411764, O2
gcc, 2.444828, O2
gcc, 2.426984, O2
gcc, 2.413699, O2
gcc, 2.439352, O2
gcc, 2.416365, O2
gcc, 2.41065, O2
gcc, 2.416768, O2
gcc, 2.414954, O2
gobmk, 234.081355, O2
gobmk, 233.664017, O2
gobmk, 234.0082, O2
gobmk, 233.939061, O2
gobmk, 233.707286, O2
gobmk, 233.554518, O2
gobmk, 234.392759, O2
gobmk, 233.466752, O2
gobmk, 233.653138, O2
gobmk, 233.2553, O2
gobmk, 233.847895, O2
gobmk, 233.239825, O2
gobmk, 233.506525, O2
gobmk, 234.091891, O2
gobmk, 233.925864, O2
gobmk, 233.570973, O2
gobmk, 233.806915, O2
gobmk, 233.391058, O2
gobmk, 233.033077, O2
gobmk, 233.912737, O2
gobmk, 233.65939, O2
gobmk, 233.30778, O2
gobmk, 233.135432, O2
gobmk, 233.674621, O2
gobmk, 233.459044, O2
gobmk, 234.072698, O2
gobmk, 233.612033, O2
gobmk, 233.884602, O2
gobmk, 233.761624, O2
gobmk, 233.319977, O2
gromacs, 184.439529, O2
gromacs, 184.090706, O2
gromacs, 184.494137, O2
gromacs, 184.30096, O2
gromacs, 184.378476, O2
gromacs, 184.847101, O2
gromacs, 184.204001, O2
gromacs, 184.496212, O2
gromacs, 184.436341, O2
gromacs, 184.096136, O2
gromacs, 184.49538, O2
gromacs, 183.92565, O2
gromacs, 184.20286, O2
gromacs, 184.258564, O2
gromacs, 183.939151, O2
gromacs, 183.83626, O2
gromacs, 184.056004, O2
gromacs, 184.316025, O2
gromacs, 184.111291, O2
gromacs, 184.107956, O2
gromacs, 184.78105, O2
gromacs, 184.058084, O2
gromacs, 184.192962, O2
gromacs, 184.178891, O2
gromacs, 184.25722, O2
gromacs, 183.946943, O2
gromacs, 184.269135, O2
gromacs, 184.050996, O2
gromacs, 184.028239, O2
gromacs, 184.238261, O2
h264ref, 182.567857, O2
h264ref, 182.526524, O2
h264ref, 182.145342, O2
h264ref, 182.23433, O2
h264ref, 182.514408, O2
h264ref, 182.264687, O2
h264ref, 182.814937, O2
h264ref, 182.936604, O2
h264ref, 182.785507, O2
h264ref, 182.342827, O2
h264ref, 182.026037, O2
h264ref, 182.103473, O2
h264ref, 181.796181, O2
h264ref, 181.95143, O2
h264ref, 181.999472, O2
h264ref, 182.057699, O2
h264ref, 181.951196, O2
h264ref, 182.96186, O2
h264ref, 181.930303, O2
h264ref, 182.283977, O2
h264ref, 182.917452, O2
h264ref, 184.303231, O2
h264ref, 182.741487, O2
h264ref, 182.284692, O2
h264ref, 182.442854, O2
h264ref, 182.130339, O2
h264ref, 182.362763, O2
h264ref, 182.321353, O2
h264ref, 182.352277, O2
hmmer, 140.937956, O2
hmmer, 140.994393, O2
hmmer, 141.051969, O2
hmmer, 141.630281, O2
hmmer, 141.258002, O2
hmmer, 141.065777, O2
hmmer, 141.189937, O2
hmmer, 141.053337, O2
hmmer, 141.079131, O2
hmmer, 140.866959, O2
hmmer, 141.034969, O2
hmmer, 141.018553, O2
hmmer, 141.170203, O2
hmmer, 141.106737, O2
hmmer, 140.827631, O2
hmmer, 140.929899, O2
hmmer, 141.728985, O2
hmmer, 140.820897, O2
hmmer, 141.045469, O2
hmmer, 140.731737, O2
hmmer, 140.947001, O2
hmmer, 141.201655, O2
hmmer, 141.808633, O2
hmmer, 141.390096, O2
hmmer, 140.989005, O2
hmmer, 140.998724, O2
hmmer, 140.774957, O2
hmmer, 141.30087, O2
hmmer, 141.116324, O2
hmmer, 141.078531, O2
lbm, 48.503262, O2
lbm, 48.540436, O2
lbm, 48.528666, O2
lbm, 48.522689, O2
lbm, 48.511883, O2
lbm, 48.461893, O2
lbm, 48.467008, O2
lbm, 48.467595, O2
lbm, 48.468347, O2
lbm, 48.578841, O2
lbm, 48.463616, O2
lbm, 48.564233, O2
lbm, 48.504597, O2
lbm, 48.51892, O2
lbm, 48.589427, O2
lbm, 48.60589, O2
lbm, 48.450912, O2
lbm, 48.48975, O2
lbm, 48.412561, O2
lbm, 48.576555, O2
lbm, 48.423132, O2
lbm, 48.49715, O2
lbm, 48.537303, O2
lbm, 48.462084, O2
lbm, 48.567323, O2
lbm, 48.502284, O2
lbm, 48.49298, O2
lbm, 48.423929, O2
lbm, 48.597478, O2
lbm, 48.519614, O2
libquantum, 5.155597, O2
libquantum, 5.166534, O2
libquantum, 5.167778, O2
libquantum, 5.158594, O2
libquantum, 5.177757, O2
libquantum, 5.171469, O2
libquantum, 5.159808, O2
libquantum, 5.157528, O2
libquantum, 5.177016, O2
libquantum, 5.170727, O2
libquantum, 5.176886, O2
libquantum, 5.182913, O2
libquantum, 5.16074, O2
libquantum, 5.156212, O2
libquantum, 5.15771, O2
libquantum, 5.172341, O2
libquantum, 5.173677, O2
libquantum, 5.158028, O2
libquantum, 5.170843, O2
libquantum, 5.202355, O2
libquantum, 5.182844, O2
libquantum, 5.189734, O2
libquantum, 5.165655, O2
libquantum, 5.182368, O2
libquantum, 5.160793, O2
libquantum, 5.164507, O2
libquantum, 5.190099, O2
libquantum, 5.154641, O2
libquantum, 5.178637, O2
libquantum, 5.199623, O2
mcf, 32.40164, O2
mcf, 32.836881, O2
mcf, 32.812012, O2
mcf, 32.508098, O2
mcf, 32.873702, O2
mcf, 32.417754, O2
mcf, 32.472186, O2
mcf, 32.58309, O2
mcf, 32.737978, O2
mcf, 32.564173, O2
mcf, 32.262411, O2
mcf, 33.201417, O2
mcf, 32.718051, O2
mcf, 33.02822, O2
mcf, 32.258749, O2
mcf, 32.867785, O2
mcf, 32.371479, O2
mcf, 32.558697, O2
mcf, 32.459043, O2
mcf, 32.973164, O2
mcf, 32.749825, O2
mcf, 32.161095, O2
mcf, 33.272313, O2
mcf, 32.676203, O2
mcf, 32.965233, O2
mcf, 32.377428, O2
mcf, 32.578387, O2
mcf, 33.169692, O2
mcf, 32.937681, O2
mcf, 32.391372, O2
milc, 25.442702, O2
milc, 25.456194, O2
milc, 25.405443, O2
milc, 25.374395, O2
milc, 25.408214, O2
milc, 25.480743, O2
milc, 25.442911, O2
milc, 25.361097, O2
milc, 25.420398, O2
milc, 25.495699, O2
milc, 25.412406, O2
milc, 25.359405, O2
milc, 25.422373, O2
milc, 25.394204, O2
milc, 25.344689, O2
milc, 25.391696, O2
milc, 25.369168, O2
milc, 25.431551, O2
milc, 25.391162, O2
milc, 25.350632, O2
milc, 25.429273, O2
milc, 25.42763, O2
milc, 25.507333, O2
milc, 25.373665, O2
milc, 25.386182, O2
milc, 25.341369, O2
milc, 25.411947, O2
milc, 25.402379, O2
milc, 25.34147, O2
milc, 25.405782, O2
namd, 25.104939, O2
namd, 25.078252, O2
namd, 25.111657, O2
namd, 25.053411, O2
namd, 25.087018, O2
namd, 25.085499, O2
namd, 25.03721, O2
namd, 25.09882, O2
namd, 25.080191, O2
namd, 25.111367, O2
namd, 25.079853, O2
namd, 25.107836, O2
namd, 25.101306, O2
namd, 25.105422, O2
namd, 25.133523, O2
namd, 25.046711, O2
namd, 25.172084, O2
namd, 25.14245, O2
namd, 25.109288, O2
namd, 25.082911, O2
namd, 25.07524, O2
namd, 25.118301, O2
namd, 25.064212, O2
namd, 25.031545, O2
namd, 25.053867, O2
namd, 25.096708, O2
namd, 25.145476, O2
namd, 25.107176, O2
namd, 25.098488, O2
namd, 25.057767, O2
perlbench, 84.831178, O2
perlbench, 87.910363, O2
perlbench, 85.291655, O2
perlbench, 85.266451, O2
perlbench, 85.122752, O2
perlbench, 85.125977, O2
perlbench, 84.785222, O2
perlbench, 85.055808, O2
perlbench, 85.595513, O2
perlbench, 85.453677, O2
perlbench, 84.795797, O2
perlbench, 84.951592, O2
perlbench, 85.188917, O2
perlbench, 85.305224, O2
perlbench, 84.92845, O2
perlbench, 84.854721, O2
perlbench, 84.799472, O2
perlbench, 84.743422, O2
perlbench, 85.285566, O2
perlbench, 84.879919, O2
perlbench, 84.952881, O2
perlbench, 85.250925, O2
perlbench, 85.377429, O2
perlbench, 84.747834, O2
perlbench, 84.970081, O2
perlbench, 85.197808, O2
perlbench, 85.229772, O2
perlbench, 85.147769, O2
perlbench, 85.395559, O2
perlbench, 85.313095, O2
sjeng, 360.011361, O2
sjeng, 359.947159, O2
sjeng, 360.281047, O2
sjeng, 360.439206, O2
sjeng, 359.619304, O2
sjeng, 360.183635, O2
sjeng, 359.565171, O2
sjeng, 358.927634, O2
sjeng, 360.929485, O2
sjeng, 360.359048, O2
sjeng, 359.555027, O2
sjeng, 359.477741, O2
sjeng, 359.600574, O2
sjeng, 358.926573, O2
sjeng, 358.906927, O2
sjeng, 360.170003, O2
sjeng, 358.89202, O2
sjeng, 358.602125, O2
sjeng, 359.34237, O2
sjeng, 359.444127, O2
sjeng, 359.083475, O2
sjeng, 360.449009, O2
sjeng, 359.804869, O2
sjeng, 359.29321, O2
sjeng, 358.398035, O2
sjeng, 359.377221, O2
sjeng, 358.939399, O2
sjeng, 359.519023, O2
sjeng, 358.358099, O2
sjeng, 359.034391, O2
sphinx3, 20.096181, O2
sphinx3, 20.104351, O2
sphinx3, 20.094519, O2
sphinx3, 20.175454, O2
sphinx3, 20.004005, O2
sphinx3, 20.195808, O2
sphinx3, 20.190858, O2
sphinx3, 19.976169, O2
sphinx3, 19.895787, O2
sphinx3, 20.091741, O2
sphinx3, 20.033075, O2
sphinx3, 20.053263, O2
